Covidence,Study_ID,Title,Author,Year,Product,Kind_of_paper,Journal_Conference,Grouping,Disc_STEM,Disc_Sci,Disc_Tech,Disc_Eng,Disc_Math,Disc_CS,Disc_EngDisc,Disc_Other,Disc_Othertext,Students_UGCC,Students_UG1st,Students_UG2plus,Students_Grad,Targets_Women,Targets_Hispanic,Targets_Black,Targets_URM,Targets_LowIncome,Targets_TransferStudents,Targets_Firstgen,Targets_HawaiianPacIs,Targets_Asian,Targets_AmIndian,Targets_disabilities,Targets_Veterans,Programs_recruit,Programs_course,Programs_advising,Programs_career,Programs_cohort,Programs_acadsupport,Programs_mentorpeer,Programs_mentorfaculty,Programs_mentoralumni,Programs_mentorindustry,Programs_fieldtrip,Programs_meetings,Programs_research,Programs_intern,Programs_studyabroad,Programs_activities,Programs_retreat,Programs_workshop,Programs_service,Programs_peer,Programs_community,Programs_focusgroups,Programs_profdev,Programs_seminar,Programs_tutoring,Programs_summerbridge,Success_transfer,Success_retention,Success_graduation,Success_timetodegree,Success_affect,Success_placement,Success_access,Success_participation,Success_other,Success_undefined,LInc_pell,LInc_cost,LInc_undef,LInc_O_finNeed,About_partners,Inter_highered,Inter_K12,Inter_industry,Inter_other,Intra_college,Intra_admissions,Intra_finaid,Intra_acadsupport,Intra_studentlife,Intra_career,Intra_other,Intra_othertext,Intra_none,Research_design,RQ_list,RQ_subject,Methods_list,Counting,Survey,Student.Reflections,Student.Interview,Faculty.Staff.Interview,Focus.Group,Other,framework,fw_belonging,fw_change,fw_identity,fw_learning,fw_motivation,fw_program,fw_socialcog,fw_studentinvolvement,fw_system,fw_none,Implications_list
41,Massi 2013,"Internships and Undergraduate Research: Impact, Support, and Institutionalization of an NSF S-STEM Program through Partnerships with Industry and Funding from Federal and Local Workforce Agencies",Massi,2013,Conference paper/proceeding,Overview of program,ASEE Annual Conference & Exposition,Engineering Education Conference,0,0,1,1,0,1,0,0,NA,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,No,0,0,2,0,1,1,0,1,0,1,0,NA,0,Cross-sectional only focused on program,,NA,Quantitative,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"Future research should include the impact of undergraduate research and internship experiences using a larger sample size of STEM students to investigate if a reliable model can be found to predict progress toward the degree and if there are differences by the type of experience (research or internship), and by type of major (engineering or sciences), by demographic type (gender and ethnicity), by institution type (public, private, etc.); the mentorâ€™s perspective of student gains; long-term effects of the friendships and networking opportunities achieved through the learning community; and an in-depth examination of studentsâ€™ psychological, decision-making process in selecting their career choice leading up to and upon graduation."
44,Anderson-Rowland 2011,Exploring Collaborations with Non-Metropolitan Community Colleges to Graduate More Engineering and Computer Science Students with Bachelor's and Graduate Degrees: Two Years Later,Anderson-Rowland,2011,Conference paper/proceeding,Overview of program,ASEE Annual Conference & Exposition,Engineering Education Conference,1,0,0,1,1,1,0,0,NA,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,No,3,0,0,0,1,1,1,1,0,1,0,NA,0,Descriptive,,NA,Qualitative,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,The work done through this project has helped to break down barriers of the community college vs. the university and eliminated mistrust.
47,Wang 2014,A Journey toward Obtaining Our First NSF S-STEM (Scholarship) Grant,Wang,2014,Conference paper/proceeding,Overview of program,ACM Technical Symposium on Computer Science Education,Technical Conference,0,0,0,0,0,1,0,0,NA,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,No,0,1,1,0,1,0,1,1,1,0,0,NA,0,Cross-sectional only focused on program,,NA,Qualitative,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"This paper has highlighted the major issues when writing a scholarship proposal and documented our four attempts to obtain the first NSF S-STEM grant for FSU.
We aim to understand the factors that influence the enrollment of women and underrepresented groups in computer science. "
51,Ahmadian 2013,Influence of S-STEM Funding: Challenges and Successes,Ahmadian,2013,Conference paper/proceeding,Overview of program,ASEE Annual Conference & Exposition,Engineering Education Conference,0,0,0,0,0,0,1,0,NA,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,No,0,1,0,1,0,0,0,0,0,0,0,NA,1,Cross-sectional only focused on program,,NA,Qualitative,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"The S-STEM scholarship was beneficial to many students for the following reasons: encouraging 
students to do well academically, constant mentoring, meetings and reminding recipients that lack of high performance would lead to loss of scholarship were major factors in high academic performance for scholars. Also, time management as well as reducing the number of hours worked for income were big factors in achieving higher academic performance.
Offering this course was to create an environment where students could work in teams from multidisciplinary STEM programs and demonstrate that students can function effectively and gain valuable experience in creating a business, time management and marketing. An additional goal was to enhance studentâ€˜s communication skills, as well as their ability to work together on team-oriented projects. The data collected implies that: [1] every team was effective in accomplishing the given task [2] every team member increased is/her teamwork skills [3] every team member had a positive attitude toward the teamwork activity and [4] team memberâ€˜s presentation skills were enhanced significantly. Overall, students agreed that the course provided them with business and teamwork experience as well as it enhanced their 
communication skills."
54,Anderson-Rowland 2012,AC 2012-5408: A SUCCESSFUL FOUR-YEAR ACADEMIC SCHOLARSHIP PROGRAM FOR UPPER DIVISION ENGINEERING AND COMPUTER SCIENCE NON-TRANSFER STUDENTS AND GRADUATE STUDENTS,Anderson-Rowland,2012,Conference paper/proceeding,Overview of program,ASEE Annual Conference & Exposition,Engineering Education Conference,1,0,0,1,0,1,0,0,NA,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,Yes,0,0,0,1,1,1,1,1,0,1,0,NA,0,Cross-sectional only focused on program,,NA,Qualitative,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,The results of this successful program speak for themselves.
55,Perlinger 2013,Assessment of a Sustainability Program in Graduate Civil and Environmental Engineering Education,Perlinger,2013,Conference paper/proceeding,Research/evaluation,IEEE Frontiers in Education Conference (FIE),Engineering Education Conference,1,1,0,1,0,0,0,0,NA,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,No,1,0,0,0,1,0,0,1,0,0,0,NA,0,Comparative (matched sample w non-participants),"Did individual CEE graduate student scholars or certain groups of scholars demonstrate advancement in intercultural competence during the program? 
Did these scholars/groups demonstrate progress in understanding of environmental, economic, and social aspects of sustainability?",Student learning - Program elements,Quantitative,0,1,0,0,0,0,,Intercultural Competence,0,0,0,0,0,0,0,0,0,1,"omparisons of SESL assessment results by gender, 
program (PCMI, MS, PhD) and degree (civil/environmental engineering) cohorts did not yield significant results due to small sample size"
60,Brown 2014,Improving Students' Soft Skills through a NSF-Supported,Brown,2014,Conference paper/proceeding,Overview of program,ASEE Annual Conference & Exposition,Engineering Education Conference,1,1,1,1,1,1,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,No,0,0,1,0,1,0,0,0,0,1,0,NA,0,Descriptive,"Did your presentation help you with your presentation skills? 
How can we make the presentations more useful? ",NA,Quantitative,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"Overall, students agreed that the course provided them with business and teamwork experience including enhanced their communication skills."
61,Wang 2020,Experience of Administering Our First S-STEM Program to Broaden Participation in Computer Science,Wang,2020,Conference paper/proceeding,Overview of program,ACM Technical Symposium on Computer Science Education,Technical Conference,0,0,0,0,0,1,0,0,NA,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,No,1,0,0,0,1,1,1,1,0,0,0,NA,0,Comparative (matched sample w non-participants),,NA,Quantitative,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"Awareness of the existence and nature of the computer science major was the most important factor for underrepresented students to choose computer science. 
Our high-level findings show 
that the year-to-year persistence rate improved as students 
progressed further into the program, and S-STEM scholars had 10+% higher year-to-year persistence rate from freshmen to sophomore year compared to non-S-STEM students in the same entering classes."
67,Ahmadian 2011,EFFECTIVE PRACTICES IN MULTIDISCIPLINARY TEAMWORK,Brown,2011,Conference paper/proceeding,Overview of program,ASEE Annual Conference & Exposition,Engineering Education Conference,0,1,1,1,1,0,0,1,Computer Information Systems,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,No,0,0,0,0,0,0,0,0,0,1,0,NA,0,Descriptive,,NA,Quantitative,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"Overall, students agreed that the course provided them with business and teamwork experience as well as it enhanced their communication skills."
70,Anderson-Rowland 2013,METSTEP: Third Year Review,Anderson-Rowland,2013,Conference paper/proceeding,Overview of program,ASEE Annual Conference & Exposition,Engineering Education Conference,1,0,0,1,1,1,0,0,NA,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,Yes,3,0,0,0,0,1,1,1,1,1,0,NA,0,Descriptive,,NA,Multi-mixed,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"With the committed and passionate professors we have in the project, we know that we will continue to do good work."
73,Davis 2014,"Enhancing Undergraduate Civil Engineering Opportunities for Minority, Female, and Socioeconomically Disadvantaged Students",Davis,2014,Conference paper/proceeding,Overview of program,ASEE Annual Conference & Exposition,Engineering Education Conference,1,1,1,1,1,0,0,0,NA,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,No,1,0,0,0,1,1,1,1,0,1,0,NA,0,Descriptive,,NA,Qualitative,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"The paper provides an overview of the first one-and-a-half years of the four-year scholarship award schedule for the ExCEL-SC program to enhance undergraduate civil engineering opportunities for minority, female, and socioeconomically disadvantaged Students."
76,Krenz 2020,COSMIC: US-based Conversion Master's Degree in Computing,Krenz,2020,Conference paper/proceeding,Overview of program,ACM Technical Symposium on Computer Science Education,Technical Conference,1,0,0,0,0,1,0,0,NA,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,No,1,0,0,0,0,1,0,0,0,0,0,NA,0,Comparative (matched sample w non-participants),,NA,Quantitative,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"SF S-STEM cohorts are routinely small, so our study has quantitative limitations. However,we are encouraged by the success of the 8 members of our first cohort: Graduates are employed as a risk analyst, an IT security analyst, a marketing data analyst and one graduate who decided to return to their original career; 2 do not anticipate completing the program but both are working in IT, and we are encouraged by completion plans of the other 2 members. That all students in our second cohort obtained a computing-related summer internship for
summer 2019 is promising"
83,Anagnos 2018,Helping Students Get More than Their Money from an Engineering Scholarship Program,Anagnos,2018,Conference paper/proceeding,Overview of program,IEEE Frontiers in Education Conference (FIE),Engineering Education Conference,0,0,1,0,1,0,0,0,NA,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,No,0,0,1,0,0,1,0,1,1,1,0,NA,0,Cross-sectional only focused on program,,NA,Qualitative,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"While scholarships provide resources that allow students to work less and thus place more focus on school, an intentional set of co-curricular activities offered in conjunction with awards can ensure that recipients get much more than the modest funds they receive."
89,Melton 2018,CLOSING THE GAP An NSF-Funded Multi-Faceted Mentoring Approach to Reducing the Barriers to Academic Success for Underrepresented STEM Majors,Melton,2018,Book or book chapter,Overview of program,Book,Other,0,1,0,1,1,1,1,1,"mechanical, electrical, pathology, virology, biomedical sciences",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,No,0,0,0,3,1,1,1,1,0,1,0,NA,0,Descriptive,,NA,Not applicable,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"In this chapter, we discussed how four NSF grantsâ€”HBCU-UP TIP, HBCU-
UP RIA, HBCU-UP S-STEM, and VA-NC LSAMP awarded to SAU played 
a major role in the overall mentoring program outcomes leading to our primary goal of increasing diversity in STEM graduate programs. Collectively, all mentoring activities worked hand-in-hand 
to advance STEM majors at SAU and beyond."
90,D'Souza 2016,Integrative Approach for a Transformative Freshman-Level STEM Curriculum.,D'Souza,2016,Journal article,Overview of program,Journal of College Teaching & Learning,Education Journal,1,0,0,0,0,0,0,0,NA,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,No,1,0,0,0,0,1,1,1,0,0,0,NA,0,Comparative (matched sample w non-participants),,NA,,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"The combined AY 2014 failure and withdrawal rates for the first-semester FY100 and MA180 core courses were 
19% and 29%, respectively. "
91,Massi 2011,DEFINING AN EVALUATION FRAMEWORK FOR UNDERGRADUATE RESEARCH EXPERIENCES,Massi,2011,Conference paper/proceeding,Overview of program,ASEE Annual Conference & Exposition,Engineering Education Conference,1,1,1,1,1,1,0,0,NA,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,No,1,0,0,0,1,0,0,1,0,0,0,NA,0,Comparative (matched sample w non-participants),,NA,Multi-mixed,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"The comparative analysis of our data with the five studies reaffirms the three hypothesized claims and defines an appropriate URE evaluation framework upon which our 
future YES program assessments will rely."
99,Eschenbach 2011,Influences of S-STEM Funding: Final Outcomes of Four Year Scientific Leadership Scholars Program Including Improvements to Department Retention Practices,Eschenbach,2011,Conference paper/proceeding,Overview of program,ASEE Annual Conference & Exposition,Engineering Education Conference,0,0,0,1,1,1,0,0,NA,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,No,1,0,0,0,1,1,1,1,0,0,0,NA,0,Comparative (matched sample w non-participants),,NA,Quantitative,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"The SLS program has supported 51 students over the past 4 years. Of these students, 54% where 
underrepresented minorities and 70% were underrepresented in STEM"
